
70, 246, 1307, 16605, 756, 3128, 120, 441, 277, 9, 107, 253, 574, 310, 1, 9, 1073, 120, 34, 4, 4, 308, 0, 450, 2497, 78, 6, 1841, 213, 322, 0, 244, 0, 0, 0, 0, 81, 277, 165, 535, 1, 4, 57, 455, 246, 309, 81, 4120, 0, 4213, 37, 179, 584, 221, 256, 901, 144, 3, 249, 285, 725, 37, 12, 4, 0, 836, 569, 26, 7, 101, 208, 590, 74, 6, 0, 0, 31, 70, 66, 401, 21, 69, 0, 303, 185, 7, 339, 0, 173, 2329, 467, 76, 181, 11, 736, 112, 0, 1, 260, 661, 749, 598, 34, 1167, 0, 0, 7, 61, 33, 81, 473, 85, 57, 1, 1842, 1885, 0, 0, 2, 106, 160, 41, 1248, 68, 67, 0, 1835, 432
459, 101, 2, 1, 376, 425, 425, 970, 12, 3, 19, 1300, 261, 6, 3389, 421, 41, 505, 752, 316, 0, 76, 412, 88, 265, 813, 97, 274, 385, 72, 1163, 407, 0, 17, 79, 1081, 40, 230, 120, 49, 20, 24, 436, 0, 582, 1, 87, 1068, 78, 73, 363, 130, 196, 34, 0, 541, 749, 17, 680, 0, 570, 547, 76, 1, 692, 527, 281, 319, 4900, 0, 129, 2, 169, 508, 1, 113, 633, 286, 435, 16, 8, 10, 766, 29, 4032, 0, 372, 451, 620, 127, 227, 1317, 28, 965, 294, 155, 473, 451, 54, 587, 1078, 150, 0, 207, 135, 1975, 6586, 563, 14, 1077, 17, 932, 47, 85, 6970, 579, 22, 147, 7, 1881, 10, 0, 484, 0, 0, 105, 640, 123
323, 2860, 31, 1, 200, 1, 328, 276, 0, 0, 23, 621, 241, 132, 1073, 31, 0, 161, 1711, 1, 13, 13, 120, 9, 273, 5, 14, 8544, 0, 637, 4655, 760, 1144, 3, 58, 263, 132, 5, 2990, 0, 130, 0, 0, 2044, 44, 0, 3, 23, 72, 19, 913, 1, 10, 8, 257, 4, 0, 188, 0, 0, 8, 886, 16, 126, 46, 6998, 11, 65, 0, 41, 4, 29, 888, 0, 43, 15, 3359, 22, 1297, 1, 0, 284, 0, 13, 94, 0, 106, 152, 262, 200, 170, 15, 0, 989, 6, 599, 71, 90, 0, 9, 1148, 7371, 1, 5, 2, 0, 3134, 2463, 197, 298, 4, 0, 1172, 0, 0, 13, 82, 0, 109, 58, 0, 116, 28, 42, 1, 20, 0, 989
0, 3, 2, 1, 217, 8, 4, 134, 2, 1, 2, 220, 2, 10098, 638, 129, 17, 885, 238, 84, 440, 4, 4, 76, 9, 2, 0, 118, 1, 0, 21, 4, 55, 1, 253, 0, 9, 0, 41, 0, 0, 6, 499, 15, 0, 20, 2045, 2, 226, 5, 0, 103, 3545, 574, 35, 3, 1901, 21, 2, 0, 39, 82, 65, 0, 108, 21, 172, 0, 0, 0, 76, 832, 1220, 57, 0, 8922, 0, 22, 0, 0, 25, 18, 0, 3, 0, 0, 11, 875, 6, 0, 8, 7, 12, 0, 13298, 62, 25, 33, 63, 1811, 155, 0, 0, 172, 1, 2262, 4948, 0, 221, 0, 0, 0, 30, 3686, 5, 174, 0, 1382, 5, 844, 22, 1, 8, 45, 56, 22, 5, 894
1, 0, 4, 0, 92, 7, 4, 1179, 36, 7, 2, 20, 263, 0, 9, 17, 381, 934, 13, 12, 0, 10, 0, 17, 10, 238, 3823, 91, 0, 7, 87, 0, 99, 127, 152, 144, 0, 329, 89, 8, 1, 0, 7, 0, 3, 0, 11, 3, 101, 10, 2, 1, 0, 0, 0, 15, 751, 97, 1, 0, 4, 0, 41, 0, 0, 71, 0, 0, 34, 1, 87, 2, 42919, 19, 865, 256, 4547, 2, 1, 11, 1, 123, 11, 82, 584, 1, 0, 143, 0, 5, 493, 45, 34, 29, 326, 61, 0, 414, 0, 1728, 0, 461, 49, 234, 4, 32, 0, 0, 32, 1, 42, 565, 215, 6, 968, 8, 17, 27, 62, 9, 10, 353, 129, 0, 2, 0, 14, 141
1, 18, 0, 45, 0, 0, 258, 0, 0, 3, 0, 8, 9223, 6, 6, 0, 0, 139, 94, 89, 90, 0, 103, 0, 311, 0, 0, 0, 196, 0, 3, 0, 0, 14, 123, 4, 39, 0, 28, 3179, 0, 165, 0, 0, 140, 2, 83, 0, 0, 0, 169, 0, 29331, 0, 7, 16, 32, 0, 173, 467, 4, 16, 3, 40, 0, 0, 25, 0, 0, 0, 339, 20, 1, 4, 0, 0, 8, 0, 6, 7, 4, 0, 1, 0, 254, 3, 0, 1, 1, 16, 7, 18, 0, 0, 1, 0, 24, 0, 0, 24, 1440, 13529, 4, 12, 0, 370, 11, 14, 1, 1325, 0, 799, 0, 225, 0, 0, 1, 0, 0, 367, 0, 4, 253, 1177, 5, 122, 485, 0

0, 0, 2, 0, 1, 13469, 0, 0, 0, 1, 10, 0, 192, 0, 0, 0, 1, 0, 0, 142, 2, 45, 32, 0, 3, 0, 18315, 7, 0, 0, 15, 23, 8, 10, 0, 0, 262, 0, 256, 0, 0, 0, 6, 0, 1, 0, 1, 6, 0, 335, 0, 8, 0, 0, 12, 0, 13476, 0, 2, 0, 0, 2, 17, 0, 0, 0, 0, 0, 1, 0, 199, 0, 2557, 2529, 0, 914, 15, 35, 0, 2663, 27, 0, 0, 1, 17, 295, 0, 3, 0, 0, 811, 66, 0, 0, 1, 6, 0, 0, 4, 519, 1, 0, 0, 7, 6, 0, 3, 7, 0, 374, 26, 188, 5780, 0, 0, 164, 192, 749, 0, 15, 670, 5, 0, 0, 5, 0, 19, 0
1, 3, 0, 0, 0, 2, 0, 0, 191, 0, 145, 1, 0, 0, 0, 21, 12, 31470, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 961, 0, 20, 22, 0, 0, 4, 0, 17, 15, 12893, 0, 0, 34, 24, 15, 0, 29, 2131, 2, 0, 0, 1428, 0, 1412, 2475, 846, 0, 0, 0, 0, 0, 1, 3, 612, 0, 0, 0, 1, 0, 0, 286, 0, 0, 0, 1, 0, 0, 0, 203, 0, 1, 0, 0, 0, 1236, 0, 0, 0, 0, 0, 0, 0, 3, 75, 14, 0, 0, 6, 4, 0, 0, 0, 16, 0, 0, 0, 74, 0, 0, 57, 0, 0, 2, 0, 0, 37, 0, 7, 0, 0, 0, 244, 262, 338, 4, 0, 7865, 1
8682, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 77, 0, 5, 115, 2, 0, 0, 1, 0, 0, 0, 0, 0, 32, 24, 0, 84, 2, 0, 1, 0, 0, 56, 0, 0, 0, 0, 0, 0, 2340, 3169, 0, 0, 0, 1, 0, 0, 0, 0, 238, 11, 0, 0, 0, 43, 0, 17, 0, 7636, 41, 0, 0, 3, 275, 14, 2095, 0, 0, 13, 341, 0, 0, 914, 2, 0, 0, 0, 18808, 0, 0, 0, 0, 0, 0, 0, 256, 36, 0, 646, 4, 3, 0, 0, 0, 0, 59, 17, 0, 0, 618, 0, 0, 0, 12, 0, 990, 0, 51, 0, 0, 0, 99, 0, 0, 0, 76, 0, 0, 0, 0, 0, 673, 16936, 0, 0, 2
0, 28, 0, 7, 1, 0, 2, 12934, 6, 6, 1360, 1018, 0, 0, 2525, 0, 0, 0, 0, 0, 0, 1, 0, 83, 1, 0, 0, 0, 55, 7, 0, 0, 56, 15, 0, 0, 158, 0, 225, 1, 0, 0, 0, 16, 18, 15536, 0, 0, 7, 208, 6, 0, 0, 0, 6513, 0, 0, 0, 0, 0, 0, 275, 2873, 0, 5, 1416, 0, 0, 4, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 206, 0, 0, 45, 2, 0, 5, 0, 193, 0, 2, 3, 0, 19, 198, 0, 0, 0, 0, 0, 12, 0, 1, 0, 9, 0, 0, 0, 20, 1847, 0, 10, 0, 47, 18, 0, 16547, 0, 52, 9, 342, 3, 0, 417, 0
0, 0, 0, 0, 0, 0, 2, 0, 0, 11359, 0, 0, 0, 58, 0, 1, 1091, 0, 21, 27571, 0, 0, 0, 655, 0, 0, 0, 0, 8246, 0, 1, 0, 0, 1, 0, 0, 0, 3, 8318, 8, 0, 0, 348, 8, 0, 178, 3343, 0, 8, 0, 0, 1, 0, 1, 136, 0, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 25, 0, 13, 0, 0, 24, 550, 1, 1, 0, 0, 24, 0, 0, 0, 115, 123, 565, 0, 607, 0, 6, 337, 0, 60, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 3, 0, 250, 2, 381, 0, 0, 0, 0, 0, 519, 301, 0, 0, 0, 0, 122, 0, 116, 0, 0, 4, 14
0, 0, 5354, 0, 13828, 126, 511, 0, 0, 0, 0, 89, 2, 0, 40, 0, 51, 344, 3, 0, 34, 2289, 0, 20, 9, 3, 0, 1, 2, 2077, 0, 0, 0, 26403, 250, 0, 0, 6, 0, 0, 964, 1, 0, 0, 400, 0, 0, 0, 0, 0, 0, 247, 217, 0, 4, 746, 0, 0, 0, 171, 0, 0, 0, 0, 0, 886, 0, 0, 0, 0, 149, 10, 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 62, 0, 0, 0, 192, 0, 0, 5, 38, 0, 1, 6, 5, 0, 0, 3682, 0, 27, 679, 0, 522, 0, 0, 0, 2, 0, 14, 0, 0, 0, 3901, 0, 0, 0, 0, 2, 0, 0, 13, 49, 0, 625, 8, 239




79, 242, 1322, 16204, 781, 3198, 135, 410, 252, 9, 126, 308, 525, 329, 1, 6, 1125, 107, 38, 5, 4, 270, 1, 399, 2442, 102, 10, 1930, 210, 361, 0, 239, 0, 0, 1, 0, 103, 286, 148, 489, 0, 3, 50, 473, 294, 315, 83, 4075, 1, 4244, 39, 182, 580, 204, 230, 883, 166, 0, 248, 299, 662, 40, 21, 6, 0, 888, 576, 33, 1, 105, 189, 593, 77, 7, 0, 0, 25, 83, 83, 392, 23, 63, 0, 293, 179, 8, 329, 1, 197, 2307, 464, 88, 207, 8, 775, 125, 0, 0, 263, 670, 773, 569, 63, 1167, 0, 0, 14, 55, 38, 103, 466, 79, 43, 1, 1853, 1871, 0, 1, 1, 131, 201, 41, 1206, 62, 90, 0, 1919, 442
